time,x,Pressure
0,0,6.51468e+06
0,8,6.51409e+06
0,16,6.5135e+06
0,24,6.5129e+06
0,32,6.51231e+06
0,40,6.51172e+06
0,48,6.51113e+06
0,56,6.51054e+06
0,64,6.50995e+06
0,72,6.50936e+06
0,80,6.50876e+06
0,88,6.50817e+06
0,96,6.50758e+06
0,104,6.50699e+06
0,112,6.5064e+06
0,120,6.50581e+06
0,128,6.50521e+06
0,136,6.50462e+06
0,144,6.50403e+06
0,152,6.50344e+06
0,160,6.50285e+06
0,168,6.50226e+06
0,176,6.50167e+06
0,184,6.50107e+06
0,192,6.50048e+06
0,200,6.49989e+06
0,208,6.4993e+06
0,216,6.49871e+06
0,224,6.49812e+06
0,232,6.49753e+06
0,240,6.49693e+06
0,248,6.49634e+06
0,256,6.49575e+06
0,264,6.49516e+06
0,272,6.49457e+06
0,280,6.49398e+06
0,288,6.49339e+06
0,296,6.49279e+06
0,304,6.4922e+06
0,312,6.49161e+06
0,320,6.49102e+06
0,328,6.49043e+06
0,336,6.48984e+06
0,344,6.48925e+06
0,352,6.48865e+06
0,360,6.48806e+06
0,368,6.48747e+06
0,376,6.48688e+06
0,384,6.48629e+06
0,392,6.4857e+06
0,400,6.4851e+06
0,408,6.48451e+06
0,416,6.48392e+06
0,424,6.48333e+06
0,432,6.48274e+06
0,440,6.48215e+06
0,448,6.48156e+06
0,456,6.48096e+06
0,464,6.48037e+06
0,472,6.47978e+06
0,480,6.47919e+06
0,488,6.4786e+06
0,496,6.47801e+06
0,504,6.47742e+06
0,512,6.47682e+06
0,520,6.47623e+06
0,528,6.47564e+06
0,536,6.47505e+06
0,544,6.47446e+06
0,552,6.47387e+06
0,560,6.47328e+06
0,568,6.47268e+06
0,576,6.47209e+06
0,584,6.4715e+06
0,592,6.47091e+06
0,600,6.47032e+06
0,608,6.46973e+06
0,616,6.46914e+06
0,624,6.46854e+06
0,632,6.46795e+06
0,640,6.46736e+06
0,648,6.46677e+06
0,656,6.46618e+06
0,664,6.46559e+06
