time,x,Pressure
0,0,6.51468e+06
0,80,6.50876e+06
0,160,6.50285e+06
0,240,6.49693e+06
0,320,6.49102e+06
0,400,6.4851e+06
0,480,6.47919e+06
0,560,6.47328e+06
0,640,6.46736e+06
0,720,6.46145e+06
0,800,6.45553e+06
0,880,6.44962e+06
0,960,6.4437e+06
0,1040,6.43779e+06
0,1120,6.43187e+06
0,1200,6.42596e+06
0,1280,6.42004e+06
0,1360,6.41413e+06
0,1440,6.40821e+06
0,1520,6.4023e+06
0,1600,6.39638e+06
0,1680,6.39047e+06
0,1760,6.38456e+06
0,1840,6.37864e+06
0,1920,6.37273e+06
0,2000,6.36681e+06
0,2080,6.3609e+06
0,2160,6.35498e+06
0,2240,6.34907e+06
0,2320,6.34315e+06
0,2400,6.33724e+06
0,2480,6.33132e+06
0,2560,6.32541e+06
0,2640,6.31949e+06
0,2720,6.31358e+06
0,2800,6.30766e+06
0,2880,6.30175e+06
0,2960,6.29584e+06
0,3040,6.28992e+06
0,3120,6.28401e+06
0,3200,6.27809e+06
0,3280,6.27218e+06
0,3360,6.26626e+06
0,3440,6.26035e+06
0,3520,6.25443e+06
0,3600,6.24852e+06
0,3680,6.2426e+06
0,3760,6.23669e+06
0,3840,6.23077e+06
0,3920,6.22486e+06
0,4000,6.21894e+06
0,4080,6.21303e+06
0,4160,6.20712e+06
0,4240,6.2012e+06
0,4320,6.19529e+06
0,4400,6.18937e+06
0,4480,6.18346e+06
0,4560,6.17754e+06
0,4640,6.17163e+06
0,4720,6.16571e+06
0,4800,6.1598e+06
0,4880,6.15388e+06
0,4960,6.14797e+06
0,5040,6.14205e+06
0,5120,6.13614e+06
0,5200,6.13022e+06
0,5280,6.12431e+06
0,5360,6.11839e+06
0,5440,6.11248e+06
0,5520,6.10657e+06
0,5600,6.10065e+06
0,5680,6.09474e+06
0,5760,6.08882e+06
0,5840,6.08291e+06
0,5920,6.07699e+06
0,6000,6.07108e+06
0,6080,6.06516e+06
0,6160,6.05925e+06
0,6240,6.05333e+06
0,6320,6.04742e+06
0,6400,6.0415e+06
0,6480,6.03559e+06
0,6560,6.02967e+06
0,6640,6.02376e+06
0,6720,6.01785e+06
0,6800,6.01193e+06
0,6880,6.00602e+06
0,6960,6.0001e+06
0,7040,5.99419e+06
0,7120,5.98827e+06
0,7200,5.98236e+06
0,7280,5.97644e+06
0,7360,5.97053e+06
0,7440,5.96461e+06
0,7520,5.9587e+06
0,7600,5.95278e+06
0,7680,5.94687e+06
0,7760,5.94095e+06
0,7840,5.93504e+06
0,7920,5.92913e+06
0,8000,5.92321e+06
0,8080,5.9173e+06
0,8160,5.91138e+06
0,8240,5.90547e+06
0,8320,5.89955e+06
0,8400,5.89364e+06
0,8480,5.88772e+06
0,8560,5.88181e+06
0,8640,5.87589e+06
0,8720,5.86998e+06
0,8800,5.86406e+06
0,8880,5.85815e+06
0,8960,5.85223e+06
0,9040,5.84632e+06
0,9120,5.8404e+06
0,9200,5.83449e+06
0,9280,5.82858e+06
0,9360,5.82266e+06
0,9440,5.81675e+06
0,9520,5.81083e+06
0,9600,5.80492e+06
0,9680,5.799e+06
0,9760,5.79309e+06
0,9840,5.78717e+06
0,9920,5.78126e+06
0,10000,5.77534e+06
0,10080,5.76943e+06
0,10160,5.76351e+06
0,10240,5.7576e+06
0,10320,5.75168e+06
0,10400,5.74577e+06
0,10480,5.73986e+06
0,10560,5.73394e+06
0,10640,5.72803e+06
0,10720,5.72211e+06
0,10800,5.7162e+06
0,10880,5.71028e+06
0,10960,5.70437e+06
0,11040,5.69845e+06
0,11120,5.69254e+06
0,11200,5.68662e+06
0,11280,5.68071e+06
0,11360,5.67479e+06
0,11440,5.66888e+06
0,11520,5.66296e+06
0,11600,5.65705e+06
0,11680,5.65114e+06
0,11760,5.64522e+06
0,11840,5.63931e+06
0,11920,5.63339e+06
0,12000,5.62748e+06
0,12080,5.62156e+06
0,12160,5.61565e+06
0,12240,5.60973e+06
0,12320,5.60382e+06
0,12400,5.5979e+06
0,12480,5.59199e+06
0,12560,5.58607e+06
0,12640,5.58016e+06
0,12720,5.57424e+06
0,12800,5.56833e+06
0,12880,5.56242e+06
0,12960,5.5565e+06
0,13040,5.55059e+06
0,13120,5.54467e+06
0,13200,5.53876e+06
0,13280,5.53284e+06
0,13360,5.52693e+06
0,13440,5.52101e+06
0,13520,5.5151e+06
0,13600,5.50918e+06
0,13680,5.50327e+06
0,13760,5.49735e+06
0,13840,5.49144e+06
0,13920,5.48552e+06
0,14000,5.47961e+06
0,14080,5.47369e+06
0,14160,5.46778e+06
0,14240,5.46187e+06
0,14320,5.45595e+06
0,14400,5.45004e+06
0,14480,5.44412e+06
0,14560,5.43821e+06
0,14640,5.43229e+06
0,14720,5.42638e+06
0,14800,5.42046e+06
0,14880,5.41455e+06
0,14960,5.40863e+06
0,15040,5.40272e+06
0,15120,5.3968e+06
0,15200,5.39089e+06
0,15280,5.38497e+06
0,15360,5.37906e+06
0,15440,5.37315e+06
0,15520,5.36723e+06
0,15600,5.36132e+06
0,15680,5.3554e+06
0,15760,5.34949e+06
0,15840,5.34357e+06
0,15920,5.33766e+06
0,16000,5.33174e+06
0,16080,5.32583e+06
0,16160,5.31991e+06
0,16240,5.314e+06
0,16320,5.30808e+06
0,16400,5.30217e+06
0,16480,5.29625e+06
0,16560,5.29034e+06
0,16640,5.28443e+06
0,16720,5.27851e+06
0,16800,5.2726e+06
0,16880,5.26668e+06
0,16960,5.26077e+06
0,17040,5.25485e+06
0,17120,5.24894e+06
0,17200,5.24302e+06
0,17280,5.23711e+06
0,17360,5.23119e+06
0,17440,5.22528e+06
0,17520,5.21936e+06
0,17600,5.21345e+06
0,17680,5.20753e+06
0,17760,5.20162e+06
0,17840,5.19571e+06
0,17920,5.18979e+06
0,18000,5.18388e+06
0,18080,5.17796e+06
0,18160,5.17205e+06
0,18240,5.16613e+06
0,18320,5.16022e+06
0,18400,5.1543e+06
0,18480,5.14839e+06
0,18560,5.14247e+06
0,18640,5.13656e+06
0,18720,5.13064e+06
0,18800,5.12473e+06
0,18880,5.11881e+06
0,18960,5.1129e+06
0,19040,5.10698e+06
0,19120,5.10107e+06
0,19200,5.09516e+06
0,19280,5.08924e+06
0,19360,5.08333e+06
0,19440,5.07741e+06
0,19520,5.0715e+06
0,19600,5.06558e+06
0,19680,5.05967e+06
0,19760,5.05375e+06
0,19840,5.04784e+06
0,19920,5.04192e+06
0,20000,5.03601e+06
0,20080,5.03009e+06
0,20160,5.02418e+06
0,20240,5.01826e+06
0,20320,5.01235e+06
0,20400,5.00644e+06
0,20480,5.00052e+06
0,20560,4.99461e+06
0,20640,4.98869e+06
0,20720,4.98278e+06
0,20800,4.97686e+06
0,20880,4.97095e+06
0,20960,4.96503e+06
0,21040,4.95912e+06
0,21120,4.9532e+06
0,21200,4.94729e+06
0,21280,4.94137e+06
0,21360,4.93546e+06
0,21440,4.92954e+06
0,21520,4.92363e+06
0,21600,4.91772e+06
0,21680,4.9118e+06
0,21760,4.90589e+06
0,21840,4.89997e+06
0,21920,4.89406e+06
0,22000,4.88814e+06
0,22080,4.88223e+06
0,22160,4.87631e+06
0,22240,4.8704e+06
0,22320,4.86448e+06
0,22400,4.85857e+06
0,22480,4.85265e+06
0,22560,4.84674e+06
0,22640,4.84082e+06
0,22720,4.83491e+06
0,22800,4.82899e+06
0,22880,4.82308e+06
0,22960,4.81717e+06
0,23040,4.81125e+06
0,23120,4.80534e+06
0,23200,4.79942e+06
0,23280,4.79351e+06
0,23360,4.78759e+06
0,23440,4.78168e+06
0,23520,4.77576e+06
0,23600,4.76985e+06
0,23680,4.76393e+06
0,23760,4.75802e+06
0,23840,4.7521e+06
0,23920,4.74619e+06
0,24000,4.74027e+06
0,24080,4.73436e+06
0,24160,4.72845e+06
0,24240,4.72253e+06
0,24320,4.71662e+06
0,24400,4.7107e+06
0,24480,4.70479e+06
0,24560,4.69887e+06
0,24640,4.69296e+06
0,24720,4.68704e+06
0,24800,4.68113e+06
0,24880,4.67521e+06
0,24960,4.6693e+06
0,25040,4.66338e+06
0,25120,4.65747e+06
0,25200,4.65155e+06
0,25280,4.64564e+06
0,25360,4.63973e+06
0,25440,4.63381e+06
0,25520,4.6279e+06
0,25600,4.62198e+06
0,25680,4.61607e+06
0,25760,4.61015e+06
0,25840,4.60424e+06
0,25920,4.59832e+06
0,26000,4.59241e+06
0,26080,4.58649e+06
0,26160,4.58058e+06
0,26240,4.57466e+06
0,26320,4.56875e+06
0,26400,4.56283e+06
0,26480,4.55692e+06
0,26560,4.55101e+06
0,26640,4.54509e+06
0,26720,4.53918e+06
0,26800,4.53326e+06
0,26880,4.52735e+06
0,26960,4.52143e+06
0,27040,4.51552e+06
0,27120,4.5096e+06
0,27200,4.50369e+06
0,27280,4.49777e+06
0,27360,4.49186e+06
0,27440,4.48594e+06
0,27520,4.48003e+06
0,27600,4.47411e+06
0,27680,4.4682e+06
0,27760,4.46228e+06
0,27840,4.45637e+06
0,27920,4.45046e+06
0,28000,4.44454e+06
0,28080,4.43863e+06
0,28160,4.43271e+06
0,28240,4.4268e+06
0,28320,4.42088e+06
0,28400,4.41497e+06
0,28480,4.40905e+06
0,28560,4.40314e+06
0,28640,4.39722e+06
0,28720,4.39131e+06
0,28800,4.38539e+06
0,28880,4.37948e+06
0,28960,4.37356e+06
0,29040,4.36765e+06
0,29120,4.36174e+06
0,29200,4.35582e+06
0,29280,4.34991e+06
0,29360,4.34399e+06
0,29440,4.33808e+06
0,29520,4.33216e+06
0,29600,4.32625e+06
0,29680,4.32033e+06
0,29760,4.31442e+06
0,29840,4.3085e+06
0,29920,4.30259e+06
0,30000,4.29667e+06
0,30080,4.29076e+06
0,30160,4.28484e+06
0,30240,4.27893e+06
0,30320,4.27302e+06
0,30400,4.2671e+06
